"","res_name"
"2202","NAG_NDG_A2G_NGA_MAG"
"2203","NAG_NDG_A2G_NGA_MAG"
"2204","SF4_F3S"
"2205","HEM"
"2206","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2207","FAD_FDA"
"2208","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2209","MG"
"2210","MLI_MLA_IVA_ASJ"
"2211","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2212","HEC_COH"
"2213","HEM"
"2214","NAG_NDG_A2G_NGA_MAG"
"2215","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2216","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2217","NAG_NDG_A2G_NGA_MAG"
"2218","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2219","NAG_NDG_A2G_NGA_MAG"
"2220","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2221","HEM"
"2222","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2223","CA"
"2224","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2225","NAG_NDG_A2G_NGA_MAG"
"2226","MG"
"2227","EPE"
"2228","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2229","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2230","MG"
"2231","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2232","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2233","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2234","NAD_NAP"
"2235","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2236","NAG_NDG_A2G_NGA_MAG"
"2237","NAG_NDG_A2G_NGA_MAG"
"2238","NAG_NDG_A2G_NGA_MAG"
"2239","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2240","EDO_BME_ETA"
"2241","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2242","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2243","NAG_NDG_A2G_NGA_MAG"
"2244","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2245","FAD_FDA"
"2246","NI"
"2247","FE2"
"2248","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2249","MG"
"2250","CA"
"2251","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2252","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2253","FAD_FDA"
"2254","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2255","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2256","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2257","MG"
"2258","HEM"
"2259","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2260","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2261","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2262","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2263","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2264","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2265","HEM"
"2266","HEM"
"2267","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2268","CIT_FLC_NCD"
"2269","NAG_NDG_A2G_NGA_MAG"
"2270","NAG_NDG_A2G_NGA_MAG"
"2271","NAG_NDG_A2G_NGA_MAG"
"2272","ZN"
"2273","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2274","CA"
"2275","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2276","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2277","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2278","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2279","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2280","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2281","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2282","SEP"
"2283","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2284","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2285","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2286","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2287","NAG_NDG_A2G_NGA_MAG"
"2288","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2289","MG"
"2290","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2291","NAG_NDG_A2G_NGA_MAG"
"2292","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2293","NAG_NDG_A2G_NGA_MAG"
"2294","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2295","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2296","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2297","NAG_NDG_A2G_NGA_MAG"
"2298","NAG_NDG_A2G_NGA_MAG"
"2299","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2300","NAG_NDG_A2G_NGA_MAG"
"2301","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2302","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2303","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2304","NAG_NDG_A2G_NGA_MAG"
"2305","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2306","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2307","NAG_NDG_A2G_NGA_MAG"
"2308","FAD_FDA"
"2309","NAG_NDG_A2G_NGA_MAG"
"2310","EDO_BME_ETA"
"2311","HEM"
"2312","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2313","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2314","CL"
"2315","CA"
"2316","FE"
"2317","CA"
"2318","MG"
"2319","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2320","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2321","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2322","HEM"
"2323","AMP_5GP_CMP_IMP_PCG_XMP"
"2324","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2325","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2326","NDP_NAI"
"2327","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2328","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2329","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2330","MG"
"2331","CL"
"2332","NAG_NDG_A2G_NGA_MAG"
"2333","NAG_NDG_A2G_NGA_MAG"
"2334","NAG_NDG_A2G_NGA_MAG"
"2335","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2336","NAG_NDG_A2G_NGA_MAG"
"2337","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2338","HEM"
"2339","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2340","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2341","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2342","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2343","NAG_NDG_A2G_NGA_MAG"
"2344","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2345","CA"
"2346","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2347","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2348","TRS"
"2349","MG"
"2350","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2351","MG"
"2352","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2353","NAG_NDG_A2G_NGA_MAG"
"2354","CA"
"2355","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2356","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2357","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2358","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2359","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2360","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2361","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2362","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2363","MG"
"2364","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2365","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2366","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2367","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2368","HEM"
"2369","NAG_NDG_A2G_NGA_MAG"
"2370","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2371","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2372","ZN"
"2373","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2374","CA"
"2375","NAG_NDG_A2G_NGA_MAG"
"2376","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2377","NAG_NDG_A2G_NGA_MAG"
"2378","MG"
"2379","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2380","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2381","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2382","NAD_NAP"
"2383","HEM"
"2384","MG"
"2385","MG"
"2386","BCL_BPH_BPB_PHO"
"2387","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2388","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2389","NDP_NAI"
"2390","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2391","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2392","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2393","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2394","CIT_FLC_NCD"
"2395","NAG_NDG_A2G_NGA_MAG"
"2396","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2397","CA"
"2398","HEM"
"2399","BCL_BPH_BPB_PHO"
"2400","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2401","BCL_BPH_BPB_PHO"
"2402","GSH"
"2403","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2404","PLP_PMP_PLR"
"2405","NAG_NDG_A2G_NGA_MAG"
"2406","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2407","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2408","8OG"
"2409","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2410","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2411","CIT_FLC_NCD"
"2412","HEM"
"2413","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2414","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2415","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2416","HEM"
"2417","NAG_NDG_A2G_NGA_MAG"
"2418","ZN"
"2419","SF4_F3S"
"2420","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2421","NAG_NDG_A2G_NGA_MAG"
"2422","NAG_NDG_A2G_NGA_MAG"
"2423","CA"
"2424","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2425","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2426","PLP_PMP_PLR"
"2427","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2428","MG"
"2429","CA"
"2430","NAG_NDG_A2G_NGA_MAG"
"2431","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"2432","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2433","NAG_NDG_A2G_NGA_MAG"
"2434","CA"
"2435","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"2436","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2437","NAG_NDG_A2G_NGA_MAG"
"2438","HEM"
"2439","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2440","CA"
"2441","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2442","CIT_FLC_NCD"
"2443","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2444","SF4_F3S"
"2445","HEM"
"2446","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2447","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2448","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2449","FAD_FDA"
"2450","MG"
"2451","CME"
"2452","MG"
"2453","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2454","NAG_NDG_A2G_NGA_MAG"
"2455","NAD_NAP"
"2456","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2457","NAG_NDG_A2G_NGA_MAG"
"2458","NAG_NDG_A2G_NGA_MAG"
"2459","MG"
"2460","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2461","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2462","FAD_FDA"
"2463","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"2464","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"2465","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2466","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2467","NAG_NDG_A2G_NGA_MAG"
"2468","MG"
"2469","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2470","CA"
"2471","HEM"
"2472","HEM"
"2473","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2474","NAG_NDG_A2G_NGA_MAG"
"2475","FMN_RBF"
"2476","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2477","MLY"
"2478","CL"
"2479","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2480","NAG_NDG_A2G_NGA_MAG"
"2481","NAG_NDG_A2G_NGA_MAG"
"2482","HEM"
"2483","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2484","MG"
"2485","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2486","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2487","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2488","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2489","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2490","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2491","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2492","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2493","1PE_P6G_PLM_OLA_1PG_PG6_SPH_STE_PAM"
"2494","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2495","NAD_NAP"
"2496","CA"
"2497","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2498","MG"
"2499","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2500","CA"
"2501","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2502","MN"
"2503","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2504","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2505","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"2506","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2507","HEM"
"2508","CAM"
"2509","CA"
"2510","CA"
"2511","PLP_PMP_PLR"
"2512","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2513","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2514","NAD_NAP"
"2515","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2516","CA"
"2517","NAG_NDG_A2G_NGA_MAG"
"2518","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2519","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2520","EDO_BME_ETA"
"2521","HEM"
"2522","MN"
"2523","ZN"
"2524","NAG_NDG_A2G_NGA_MAG"
"2525","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2526","AMP_5GP_CMP_IMP_PCG_XMP"
"2527","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2528","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2529","NAG_NDG_A2G_NGA_MAG"
"2530","MG"
"2531","HEM"
"2532","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2533","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2534","HEM"
"2535","FAD_FDA"
"2536","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"2537","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2538","NAG_NDG_A2G_NGA_MAG"
"2539","ZN"
"2540","ZN"
"2541","CME"
"2542","MG"
"2543","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2544","HEM"
"2545","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2546","CA"
"2547","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2548","FAD_FDA"
"2549","HEM"
"2550","CL"
"2551","NAG_NDG_A2G_NGA_MAG"
"2552","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2553","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2554","EPE"
"2555","NAG_NDG_A2G_NGA_MAG"
"2556","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2557","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2558","NAG_NDG_A2G_NGA_MAG"
"2559","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2560","MG"
"2561","NAG_NDG_A2G_NGA_MAG"
"2562","CIT_FLC_NCD"
"2563","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2564","CIT_FLC_NCD"
"2565","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2566","MG"
"2567","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2568","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2569","MPD_MRD_POP_PPV_DPO_CP_BET_BOC"
"2570","MG"
"2571","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2572","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2573","FAD_FDA"
"2574","FAD_FDA"
"2575","CA"
"2576","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2577","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2578","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2579","NAG_NDG_A2G_NGA_MAG"
"2580","NAG_NDG_A2G_NGA_MAG"
"2581","CIT_FLC_NCD"
"2582","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2583","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2584","CA"
"2585","MG"
"2586","EDO_BME_ETA"
"2587","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2588","DHE"
"2589","EDO_BME_ETA"
"2590","NAG_NDG_A2G_NGA_MAG"
"2591","ZN"
"2592","NAG_NDG_A2G_NGA_MAG"
"2593","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2594","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2595","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2596","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2597","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2598","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2599","NAG_NDG_A2G_NGA_MAG"
"2600","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2601","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2602","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2603","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2604","ADP_ATP_ANP_GNP_ACP_DTP_GTP_DGT_APC_AGS_GSP_GCP"
"2605","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2606","CA"
"2607","NAG_NDG_A2G_NGA_MAG"
"2608","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2609","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2610","NAG_NDG_A2G_NGA_MAG"
"2611","PCA"
"2612","CA"
"2613","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2614","HEM"
"2615","NAG_NDG_A2G_NGA_MAG"
"2616","NAG_NDG_A2G_NGA_MAG"
"2617","MAN_BMA_GAL_FUC_BGC_GLC_XYP_FUL_GLA_XYS_MMA_RAM_BDP_SKM_GCU_XYL_ADA_G2F_GCS_SGC_NOJ_INS_G6D_FCA_ACI"
"2618","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2619","HEM"
"2620","CA"
"2621","TLA_TAR_MLT_SRT_OAA_LMR"
"2622","MLI_MLA_IVA_ASJ"
"2623","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2624","CL"
"2625","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2626","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2627","HEM"
"2628","FES"
"2629","FES"
"2630","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2631","SO4_PO4_CAC_NH4_ALF_VO4_CAD_WO4_TBU_2HP_MOO"
"2632","HEC_COH"
"2633","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2634","GOL_PGO_SGM_DMF_PGR_PPI_GLV_HAE"
"2635","HEM"
"2636","CL"
"2637","ACT_DMS_ACY_NO3_IPA_CO3_BCT_BEF_SO3_AF3_GAI_URE_PO3_ACN_MOS_ACM_MGF_BO3"
"2638","NDP_NAI"
